,Title,Ingredients,Servings,Difficulty,Calories,Fats/g,Protein/g,Carbs/g,Time,URL,Ingredients_parsed,Ingredients_final
441,Superfood salad,"['2 sweet potatoes , (350g each)', '1 pinch of dried chilli flakes', '1 pinch of ground coriander', '1 small pinch of ground cinnamon', 'olive oil', '200 g quinoa', '320 g broccoli', '35 g mixed nuts , such as walnuts, almonds, Brazils', '1 pomegranate', 'extra virgin olive oil', '1 splash of balsamic vinegar', '2 limes', '40 g mixed sprouts', '1 punnet of salad cress , (use a mixture of varieties, if possible)', '1 bunch of fresh coriander , (30g)', '1 fresh red chilli', '1 ripe avocado', '20 g feta cheese']",6,Not too tricky,386.0,18.4,11.0,46.9,40 minutes plus cooling,https://www.jamieoliver.com/recipes/vegetables-recipes/superfood-salad/,sweet potato dried chilli flake ground coriander small ground cinnamon olive oil quinoa broccoli mixed nut such a brazil pomegranate extra virgin olive oil splash balsamic vinegar lime mixed sprout punnet salad cress a mixture if bunch fresh coriander fresh red chilli ripe avocado feta cheese,potato coriander cinnamon quinoa broccoli brazil lime sprout cress mixture coriander avocado feta cheese
442,The ultimate spring quiche,"['sea salt', 'freshly ground black pepper', '150 g asparagus', '100 g fresh peas and broad beans , podded', '75 g baby spinach', '2 spring onions', '4 rashers higher-welfare smoked streaky bacon , optional', '4 large free-range eggs', '150 ml double cream', '150 ml semi-skimmed milk', '½ a bunch of fresh chives', ""75 g goat's cheese"", 'For the pastry:', '300 g plain flour , plus extra for dusting', '150 g unsalted butter , at room temperature, cubed']",10,Not too tricky,345.0,23.2,9.6,26.4,1 hour 45 minutes plus resting,https://www.jamieoliver.com/recipes/vegetables-recipes/the-ultimate-spring-quiche/,sea salt freshly ground black pepper asparagus fresh pea and broad bean podded baby spinach spring onion rasher higher welfare smoked streaky bacon optional large free range egg double cream semi skimmed milk a bunch fresh chive cheese for the plain flour plus extra for dusting unsalted butter at room cubed,pea broad podded spinach onion bacon egg double semi skimmed milk cheese butter at room cubed
443,Roasted fennel & pine nut polpette,"['1 large fennel bulb , or 2 small (400g)', 'extra virgin olive oil', '20 g pine nuts', '20 g pumpkin seeds', '3 cloves of garlic', '½ a fresh red chilli', '50 g Parmesan cheese', '100 g breadcrumbs', '1 large egg yolk', '½ a bunch of fresh parsley , (15g)', '1 x 400g tin of quality plum tomatoes', 'balsamic vinegar']",4,Super easy,476.0,26.1,23.3,39.7,1 hour 35 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/roasted-fennel-pine-nut-polpette/,large fennel or small extra virgin olive oil pine nut pumpkin seed clove garlic a fresh red chilli parmesan cheese breadcrumb large egg yolk a bunch fresh parsley tin quality plum tomato balsamic vinegar,fennel pumpkin garlic parmesan cheese breadcrumb egg yolk tomato
444,Chicken arrabbiata,"['olive oil', '5 fresh red chillies', '6 cloves of garlic', '4 free-range skinless chicken breasts', '1 bunch of fresh basil (30g)', '3 x 400 g tins of quality plum tomatoes , (stone in)', '10 black olives', '600 g ripe mixed-colour tomatoes', '2 tablespoons baby capers', '½ a lemon', 'Parmesan cheese', '2 handfuls of rocket']",4,Super easy,320.0,8.3,42.1,16.0,1 hour,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-arrabbiata/,olive oil fresh red chilli clove garlic free range skinless chicken breast bunch fresh basil tin quality plum tomato black olive ripe mixed colour tomato baby caper a lemon parmesan cheese handful rocket,garlic chicken basil tomato tomato lemon parmesan cheese rocket
445,Roast mejadra onions,"['6 large white onions , peeled', '5 tablespoons extra-virgin olive oil', '1 teaspoon cumin seeds , lightly crushed', '1 tablespoon coriander seeds , lightly crushed', '100 g white basmati rice', '100 g brown lentils', '1/2 teaspoon ground tumeric', '1 teaspoon ground allspice', '1 teaspoon cinnamon', '400 ml vegetable stock', '50 g flaked almonds , lightly toasted, plus extra to garnish', '1 large handful of flat-leaf parsley , chopped', '2 tablespoons red wine vinegar', '1 pinch of caster sugar', 'rocket salad , to serve (optional)']",4,Not too tricky,492.0,23.4,14.9,58.6,2 hours 30 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/roast-mejadra-onions/,large white onion peeled extra virgin olive oil cumin seed lightly crushed coriander seed lightly crushed white basmati rice brown lentil ground tumeric ground allspice cinnamon vegetable stock flaked almond lightly plus extra to garnish large handful flat leaf parsley chopped red wine vinegar caster sugar rocket salad to serve,onion cumin lightly crushed coriander lightly crushed rice lentil tumeric allspice cinnamon flaked lightly garnish wine caster rocket
446,Perfect chicken balti,"['2 cloves of garlic', '1-2 fresh red chillies', '5 cm ginger', '2 onions', 'groundnut oil , or vegetable oil', '1 cinnamon stick', '2 fresh bay leaves', '12 green cardamom pods', '6 skinless higher-welfare chicken thighs , (500g)', '1 teaspoon garam masala', '1 pinch of ground cloves', '1 heaped teaspoon ground cumin', '1 heaped teaspoon ground coriander', '4 ripe tomatoes', '100 g low-fat natural yoghurt , plus extra to serve', '½ a bunch of fresh coriander']",4,Super easy,277.0,13.7,28.5,12.8,1 hour,https://www.jamieoliver.com/recipes/chicken-recipes/perfect-chicken-balti/,clove garlic fresh red chilli ginger onion groundnut oil or vegetable oil cinnamon stick fresh bay leaf green cardamom pod skinless higher welfare chicken thigh garam masala ground clove ground cumin ground coriander ripe tomato low fat natural yoghurt plus extra to serve a bunch fresh coriander,garlic ginger onion cinnamon cardamom pod chicken cumin coriander tomato yoghurt coriander
447,Tandoori chicken,"['4 cloves of garlic', '1-2 fresh red chillies', '7 cm piece of ginger', '½ a lemon', '200 g low-fat natural yoghurt', '1 teaspoon ground cinnamon', '1 heaped teaspoon ground cumin', '1 teaspoon ground coriander', '1 heaped teaspoon paprika', '12 higher-welfare chicken thighs and drumsticks , (1.5kg)', 'groundnut oil', '900 g broccoli', '1 tablespoon garam masala', '½ a bunch of fresh coriander']",6,Super easy,500.0,22.7,66.6,8.0,1 hour 45 minutes plus marinating,https://www.jamieoliver.com/recipes/chicken-recipes/tandoori-chicken/,clove garlic fresh red chilli piece ginger a lemon low fat natural yoghurt ground cinnamon ground cumin ground coriander paprika higher welfare chicken thigh and drumstick groundnut oil broccoli garam masala a bunch fresh coriander,garlic ginger lemon yoghurt cinnamon cumin coriander paprika chicken drumstick broccoli coriander
448,Pan-cooked giant prawns,"['olive oil', '12 large Australian Green banana prawns , responsibly sourced', '1-2 fresh chillies', '1 bunch of spring onions', '4 large handfuls of snow peas', '500 g ripe tomatoes', '2 large handfuls of frozen peas', '2 x 410 g tins of butter beans , or cannellini beans', 'sea salt', 'freshly ground black pepper', '½ bunch of fresh flat-leaf parsley', '1-2 lemons', '4 slices of quality bread , such as sourdough or ciabatta']",4,Super easy,230.0,10.9,18.7,15.0,15 minutes,https://www.jamieoliver.com/recipes/seafood-recipes/pan-cooked-giant-prawns/,olive oil large australian green banana prawn responsibly sourced fresh chilli bunch spring onion large handful snow pea ripe tomato large handful frozen pea tin butter bean or cannellini bean sea salt freshly ground black pepper bunch fresh flat leaf parsley lemon quality bread such a sourdough or ciabatta,australian banana prawn responsibly sourced onion snow pea tomato pea butter cannellini lemon sourdough ciabatta
449,Pasta pesto,"['CHICKEN', '2 x 200 g skinless free-range chicken breasts', '1 teaspoon fennel seeds', '2 sprigs of fresh rosemary', '2 tablespoons rapeseed oil', '4-5 cloves of garlic', '1-2 fresh red chillies', '8 ripe cherry tomatoes', 'PASTA & PESTO', '250 g green beans', '1 big bunch of fresh basil', '50 g blanched almonds', '50 g Parmesan cheese , plus extra to serve', '2 tablespoons extra virgin olive oil', '1 lemon', '1 clove of garlic', '300 g fresh lasagne sheets', '200 g baby spinach']",4,Not too tricky,581.0,27.3,48.6,30.9,15 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/pasta-pesto/,chicken skinless free range chicken breast fennel seed sprig fresh rosemary rapeseed oil clove garlic fresh red chilli ripe cherry tomato pasta pesto green bean big bunch fresh basil blanched almond parmesan cheese plus extra to serve extra virgin olive oil lemon clove garlic fresh lasagne sheet baby spinach,chicken chicken fennel rosemary rapeseed garlic tomato pasta pesto basil blanched parmesan cheese lemon garlic lasagne sheet spinach
450,Blackened chicken,"['QUINOA SALAD', '300 g quinoa', '1 fresh red chilli or yellow chilli', '100 g baby spinach', '4 spring onions', '1 bunch of fresh coriander', '1 bunch of fresh mint', '1 large ripe mango', '2 limes', '2 tablespoons extra virgin olive oil', '1 ripe avocado', '50 g feta cheese', '1 punnet cress', 'CHICKEN', '2 x 200 g skinless free-range chicken breasts', '1 heaped teaspoon ground allspice', '1 heaped teaspoon smoked paprika', 'olive oil', '2 mixed-colour peppers', 'TO SERVE', '4 tablespoons fat-free yoghurt']",4,Super easy,617.0,22.0,47.5,51.7,15 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/blackened-chicken/,quinoa salad quinoa fresh red chilli or yellow chilli baby spinach spring onion bunch fresh coriander bunch fresh mint large ripe mango lime extra virgin olive oil ripe avocado feta cheese punnet cress chicken skinless free range chicken breast ground allspice smoked paprika olive oil mixed colour pepper to serve fat free yoghurt,quinoa quinoa spinach onion coriander mint mango lime avocado feta cheese cress chicken chicken allspice paprika yoghurt
451,Hot & sour soup,"['2 cloves of garlic', '1-2 fresh red chillies', 'sea salt', 'freshly ground white pepper', '1 thumb-sized piece of ginger', '250 g shiitake mushrooms , cleaned', '225 g bamboo shoots , drained', 'groundnut oil , or vegetable oil', 'low-salt soy sauce', 'rice wine vinegar', '1 teaspoon runny honey', '1.5 litres hot organic vegetable stock', '150 g firm tofu', '2 spring onions', '½ bunch of chives', '1 large free-range egg']",6,Not too tricky,99.0,6.0,7.2,3.8,45 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/hot-sour-soup/,clove garlic fresh red chilli sea salt freshly ground white pepper thumb sized piece ginger shiitake mushroom cleaned bamboo shoot drained groundnut oil or vegetable oil low salt soy sauce rice wine vinegar runny honey hot organic vegetable stock firm tofu spring onion bunch chive large free range egg,garlic thumb ginger shiitake mushroom cleaned bamboo shoot rice wine honey firm tofu onion egg
452,Kung Pao chicken,"['1 tablespoon Szechuan peppercorns', '2½ tablespoons cornflour', '4 skinless higher-welfare chicken thighs , (350g)', 'groundnut oil , or vegetable oil', '4 cloves of garlic', '5 cm piece of ginger', '2 spring onions', '6 dried red chillies', '2 tablespoons low-salt soy sauce', '½ tablespoon rice wine vinegar', '1 heaped tablespoon runny honey', '50 g unsalted peanuts', '1 punnet of salad cress', 'RIBBON SALAD', '½ a cucumber', '1 large carrot', '½ a bunch of fresh coriander', '1 tablespoon low-salt soy sauce', '1 tablespoon rice wine vinegar']",2,Super easy,572.0,30.1,45.2,32.7,45 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/kung-pao-chicken/,szechuan peppercorn cornflour skinless higher welfare chicken thigh groundnut oil or vegetable oil clove garlic piece ginger spring onion dried red chilli low salt soy sauce rice wine vinegar runny honey unsalted peanut punnet salad cress ribbon salad a cucumber large carrot a bunch fresh coriander low salt soy sauce rice wine vinegar,szechuan peppercorn cornflour chicken garlic ginger onion rice wine honey peanut cress ribbon cucumber carrot coriander rice wine
453,Prawn & crab wontons,"['30 wonton wrappers , (roughly 10cm)', 'cornflour , for dusting', 'groundnut oil , or vegetable oil', 'sweet chilli sauce , to serve', 'For the filling:', '1 thumb-sized piece of ginger', '1 clove of garlic', '1 fresh red chilli', '½ bunch of chives', '200 g peeled raw tiger prawns', '200 g white crabmeat', '2 tablespoons oyster sauce', '½ tablespoon sesame oil']",30,Not too tricky,37.0,0.3,3.1,5.1,50 minutes,https://www.jamieoliver.com/recipes/seafood-recipes/prawn-crab-wontons/,wonton wrapper cornflour for dusting groundnut oil or vegetable oil sweet chilli sauce to serve for the thumb sized piece ginger clove garlic fresh red chilli bunch chive peeled raw tiger prawn white crabmeat oyster sauce sesame oil,wonton wrapper cornflour thumb ginger garlic tiger prawn crabmeat oyster
454,Szechuan sweet & sour prawns,"['300 g pineapple', '1 red pepper', '1 yellow pepper', '2 cloves of garlic', '1-2 fresh red chillies', 'sea salt', '1 thumb-sized piece of ginger', '24 peeled raw king prawns', 'groudnut oil , or vegetable oil', '150 ml unsweetened pineapple juice', '3 tablespoons rice or white wine vinegar', '1 tablespoon low-salt soy sauce', '½ tablespoon cornflour', '½ bunch of fresh coriander']",4,Super easy,220.0,2.3,14.7,37.8,45 minutes,https://www.jamieoliver.com/recipes/seafood-recipes/szechuan-sweet-sour-prawns/,pineapple red pepper yellow pepper clove garlic fresh red chilli sea salt thumb sized piece ginger peeled raw king prawn groudnut oil or vegetable oil unsweetened pineapple juice rice or white wine vinegar low salt soy sauce cornflour bunch fresh coriander,pineapple garlic thumb ginger king prawn groudnut unsweetened pineapple rice wine cornflour coriander
455,Vegan Chinese-style noodles,"['200 g thin rice noodles', '300 g mixed mushrooms , such as oyster, shitake and enoki, cleaned', '2 cloves of garlic', '1 fresh red chilli', '5 cm piece of ginger', '200 g courgettes', '½ bunch of fresh coriander', '6 spring onions', 'groundnut oil , or vegetable oil', '1 teaspoon cornflour', '2 tablespoons low-salt soy sauce', '1 tablespoon agave syrup', '1 teaspoon sesame oil', '½ tablespoon rice wine , or dry sherry', '100 g baby spinach', '2 limes , to serve', 'sambal , or hot chilli sauce, to serve']",4,Super easy,268.0,4.5,6.4,49.2,25 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/vegan-chinese-noodles/,thin rice noodle mixed mushroom such a shitake and cleaned clove garlic fresh red chilli piece ginger courgette bunch fresh coriander spring onion groundnut oil or vegetable oil cornflour low salt soy sauce agave syrup sesame oil rice wine or dry sherry baby spinach lime to serve sambal or hot chilli to serve,thin rice noodle mushroom shitake cleaned garlic ginger courgette coriander onion cornflour agave syrup rice wine sherry spinach lime sambal
456,"Haggis, neeps & tatties","['500 g quality haggis', 'NEEPS & TATTIES', '450 g potatoes', '400 g turnips or swedes', '100 g unsalted butter', '8 spring onions', '30 ml double cream']",6,Super easy,527.0,38.3,13.0,31.4,55 minutes,https://www.jamieoliver.com/recipes/lamb-recipes/haggis-neeps-tatties/,quality haggis neeps tatties potato turnip or swede unsalted butter spring onion double cream,haggis neeps tatties potato turnip swede butter onion double
